geo_point_2d;geo_shape;nom_dept;nom_com;insee_com;nom_station;code_station;typologie;influence;nom_poll;id_poll_ue;valeur;unite;metrique;date_debut;date_fin;statut_valid;code_epci
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2023-08-17T10:00:00+02:00;2023-08-17T10:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.4;µg/m3;horaire;2023-08-18T05:00:00+02:00;2023-08-18T05:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.5;µg/m3;horaire;2023-08-16T11:00:00+02:00;2023-08-16T11:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.6;µg/m3;horaire;2023-08-15T10:00:00+02:00;2023-08-15T10:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.6;µg/m3;horaire;2023-08-16T07:00:00+02:00;2023-08-16T07:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.6;µg/m3;horaire;2023-08-17T08:00:00+02:00;2023-08-17T08:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;NO;38;0.6;µg/m3;horaire;2023-08-16T02:00:00+02:00;2023-08-16T02:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;5.6;µg/m3;horaire;2023-08-15T19:00:00+02:00;2023-08-15T19:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;6.0;µg/m3;horaire;2023-08-15T17:00:00+02:00;2023-08-15T17:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;6.5;µg/m3;horaire;2023-08-15T23:00:00+02:00;2023-08-15T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;7.8;µg/m3;horaire;2023-08-16T13:00:00+02:00;2023-08-16T13:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;7.9;µg/m3;horaire;2023-08-16T04:00:00+02:00;2023-08-16T04:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;8.1;µg/m3;horaire;2023-08-17T00:00:00+02:00;2023-08-17T00:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;8.3;µg/m3;horaire;2023-08-15T07:00:00+02:00;2023-08-15T07:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;8.3;µg/m3;horaire;2023-08-16T12:00:00+02:00;2023-08-16T12:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;8.7;µg/m3;horaire;2023-08-16T17:00:00+02:00;2023-08-16T17:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;8.8;µg/m3;horaire;2023-08-16T11:00:00+02:00;2023-08-16T11:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;8.9;µg/m3;horaire;2023-08-14T23:00:00+02:00;2023-08-14T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.1;µg/m3;horaire;2023-08-15T02:00:00+02:00;2023-08-15T02:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.1;µg/m3;horaire;2023-08-15T05:00:00+02:00;2023-08-15T05:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.2;µg/m3;horaire;2023-08-15T01:00:00+02:00;2023-08-15T01:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.2;µg/m3;horaire;2023-08-15T06:00:00+02:00;2023-08-15T06:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.7;µg/m3;horaire;2023-08-17T04:00:00+02:00;2023-08-17T04:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.7;µg/m3;horaire;2023-08-16T16:00:00+02:00;2023-08-16T16:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.7;µg/m3;horaire;2023-08-16T08:00:00+02:00;2023-08-16T08:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.8;µg/m3;horaire;2023-08-17T16:00:00+02:00;2023-08-17T16:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;9.9;µg/m3;horaire;2023-08-16T22:00:00+02:00;2023-08-16T22:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;10.3;µg/m3;horaire;2023-08-17T13:00:00+02:00;2023-08-17T13:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;11.3;µg/m3;horaire;2023-08-17T12:00:00+02:00;2023-08-17T12:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;11.7;µg/m3;horaire;2023-08-17T23:00:00+02:00;2023-08-17T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;11.8;µg/m3;horaire;2023-08-17T20:00:00+02:00;2023-08-17T20:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;12.6;µg/m3;horaire;2023-08-18T06:00:00+02:00;2023-08-18T06:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;12.7;µg/m3;horaire;2023-08-17T07:00:00+02:00;2023-08-17T07:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;12.7;µg/m3;horaire;2023-08-18T07:00:00+02:00;2023-08-18T07:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM10;5;14.6;µg/m3;horaire;2023-08-17T08:00:00+02:00;2023-08-17T08:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;3.7;µg/m3;horaire;2023-08-15T19:00:00+02:00;2023-08-15T19:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;3.8;µg/m3;horaire;2023-08-15T23:00:00+02:00;2023-08-15T23:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;3.9;µg/m3;horaire;2023-08-15T18:00:00+02:00;2023-08-15T18:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;4.0;µg/m3;horaire;2023-08-15T14:00:00+02:00;2023-08-15T14:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;4.2;µg/m3;horaire;2023-08-15T12:00:00+02:00;2023-08-15T12:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;4.3;µg/m3;horaire;2023-08-16T01:00:00+02:00;2023-08-16T01:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;4.7;µg/m3;horaire;2023-08-17T01:00:00+02:00;2023-08-17T01:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;4.8;µg/m3;horaire;2023-08-16T12:00:00+02:00;2023-08-16T12:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.0;µg/m3;horaire;2023-08-15T07:00:00+02:00;2023-08-15T07:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.1;µg/m3;horaire;2023-08-16T17:00:00+02:00;2023-08-16T17:59:59+02:00;1;244500468
47.837765,1.944658;"{""coordinates"": [1.944658, 47.837765], ""type"": ""Point""}";Loiret;Orléans;45234;La_Source-CNRS;FR34029;Urbaine;Fond;PM2.5;6001;5.1;µg/m3;horaire;2023-08-16T23:00:00+02:00;2023-08-16T23:59:59+02:00;1;244500468
